City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Swan River,CA,62.64,scattered clouds,52.1058,-101.2676,
3,Kamenka,RU,66.42,clear sky,51.3223,42.7678,
4,Praia Da Vitoria,PT,68.25,scattered clouds,38.7333,-27.0667,
5,Jiayuguan,CN,73.45,broken clouds,39.8167,98.3,
8,Arraial Do Cabo,BR,69.4,few clouds,-22.9661,-42.0278,
11,Kapaa,US,80.92,light rain,22.0752,-159.319,
14,Victoria,HK,76.98,moderate rain,22.2855,114.1577,
15,Albany,US,82.35,light rain,42.6001,-73.9662,
16,Puerto Ayora,EC,73.54,overcast clouds,-0.7393,-90.3518,
17,Atar,MR,88.48,clear sky,20.5169,-13.0499,
20,Shubarshi,KZ,68.92,clear sky,48.5872,57.1869,
21,Bandundu,CD,74.12,overcast clouds,-3.3167,17.3667,
22,Kuusamo,FI,60.84,scattered clouds,65.9667,29.1833,
23,Port Elizabeth,ZA,76.1,clear sky,-33.918,25.5701,
24,Saskylakh,RU,79.14,clear sky,71.9167,114.0833,
25,Maxixe,MZ,64.92,light rain,-23.8597,35.3472,
26,Urucara,BR,76.06,broken clouds,-2.5364,-57.76,
28,Naze,JP,72.52,overcast clouds,28.3667,129.4833,
29,Ambon,ID,84.34,few clouds,-3.6954,128.1814,
30,Kavieng,PG,85.33,scattered clouds,-2.5744,150.7967,
32,Butaritari,KI,82.96,overcast clouds,3.0707,172.7902,
35,Rikitea,PF,75.02,light rain,-23.1203,-134.9692,
36,Faanui,PF,79.74,clear sky,-16.4833,-151.75,
37,Yellowknife,CA,61.88,overcast clouds,62.456,-114.3525,
38,Hervey Bay,AU,71.71,clear sky,-25.2986,152.8535,
39,Nikolskoye,RU,72.01,clear sky,59.7035,30.7861,
40,Kano,NG,80.96,few clouds,12.0001,8.5167,
41,Vaini,TO,80.76,few clouds,-21.2,-175.2,
42,Cape Town,ZA,62.89,light rain,-33.9258,18.4232,
43,Mandalgovi,MN,65.55,overcast clouds,45.7625,106.2708,
44,Sao Joao Da Barra,BR,67.28,overcast clouds,-21.6403,-41.0511,
45,Amazar,RU,76.59,scattered clouds,53.858,120.875,
46,Lompoc,US,77.77,clear sky,34.6391,-120.4579,
47,Hithadhoo,MV,83.32,overcast clouds,-0.6,73.0833,
48,Dicabisagan,PH,88.18,overcast clouds,17.0818,122.4157,
49,Bengkulu,ID,78.51,overcast clouds,-3.8004,102.2655,
51,Tabou,CI,76.41,overcast clouds,4.423,-7.3528,
53,Kidal,ML,84.78,clear sky,18.4411,1.4078,
55,Lucapa,AO,63.1,broken clouds,-8.4192,20.7447,
56,Avarua,CK,72.73,clear sky,-21.2078,-159.775,
57,Port Alfred,ZA,69.15,clear sky,-33.5906,26.891,
58,Atuona,PF,79.32,few clouds,-9.8,-139.0333,
59,Vilyuysk,RU,84.79,broken clouds,63.7553,121.6247,
60,Tarata,BO,60.08,clear sky,-17.6167,-66.0167,
62,Flin Flon,CA,62.51,broken clouds,54.7682,-101.865,
68,Katsuura,JP,79.23,overcast clouds,35.1333,140.3,
69,Ribeira Grande,PT,65.79,overcast clouds,38.5167,-28.7,
70,Jamestown,US,69.08,overcast clouds,42.097,-79.2353,
72,Sao Miguel Do Araguaia,BR,76.19,clear sky,-13.275,-50.1628,
73,Japura,ID,76.48,overcast clouds,-0.3167,102.35,
74,Bredasdorp,ZA,61.25,clear sky,-34.5322,20.0403,
75,Chokurdakh,RU,72.93,clear sky,70.6333,147.9167,
78,Pandan,PH,84.97,overcast clouds,14.0453,124.1694,
80,Hasaki,JP,79.18,overcast clouds,35.7333,140.8333,
81,Eirunepe,BR,76.93,overcast clouds,-6.6603,-69.8736,
82,Inirida,CO,72.73,scattered clouds,3.8653,-67.9239,
83,Rock Sound,BS,81.48,clear sky,24.9,-76.2,
84,Salinopolis,BR,77.56,clear sky,-0.6136,-47.3561,
85,Birao,CF,78.46,overcast clouds,10.2849,22.7882,
86,Nome,US,68.16,overcast clouds,64.5011,-165.4064,
87,Monrovia,LR,76.33,light rain,6.3005,-10.7969,
89,Petropavlovka,RU,65.44,overcast clouds,50.6114,105.3196,
91,Tilichiki,RU,60.51,overcast clouds,60.4667,166.1,
94,Micheweni,TZ,74.8,light rain,-4.9667,39.8333,
96,Kruisfontein,ZA,73.89,clear sky,-34.0033,24.7314,
97,Pyinmana,MM,77.76,overcast clouds,19.7333,96.2167,
98,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,
100,Mahon,ES,70.36,broken clouds,39.8885,4.2658,
102,Rodrigues Alves,BR,73.62,scattered clouds,-7.738,-72.6509,
104,Kyrylivka,UA,71.44,clear sky,46.3759,35.3675,
105,Oktyabrskoye,RU,62.74,clear sky,43.0645,44.7417,
106,Chapada Dos Guimaraes,BR,71.26,overcast clouds,-15.4606,-55.7497,
107,Dingle,PH,80.49,moderate rain,10.9995,122.6711,
108,Aswan,EG,87.01,clear sky,24.0934,32.907,
109,Eydhafushi,MV,82.29,clear sky,5.1033,73.0708,
110,Naliya,IN,83.23,clear sky,23.2667,68.8333,
111,Shostka,UA,62.69,clear sky,51.863,33.4698,
113,Lagoa,PT,63.84,few clouds,39.05,-27.9833,
114,Kahului,US,86.74,broken clouds,20.8947,-156.47,
116,Yenagoa,NG,73.17,light rain,4.9247,6.2642,
118,Pitimbu,BR,73.99,few clouds,-7.4706,-34.8086,
119,Torbay,CA,60.76,overcast clouds,47.6666,-52.7314,
120,Cherskiy,RU,71.06,broken clouds,68.75,161.3,
121,Rauma,FI,64.44,scattered clouds,61.1272,21.5113,
124,Road Town,VG,82.49,few clouds,18.4167,-64.6167,
125,Salvador,SV,77.4,overcast clouds,13.8333,-88.9167,
126,Antsohihy,MG,70.66,scattered clouds,-14.8796,47.9875,
127,Pingliang,CN,78.85,clear sky,35.5392,106.6861,
129,Sinjar,IQ,80.94,clear sky,36.3209,41.8754,
130,Udachnyy,RU,78.69,broken clouds,66.4167,112.4,
133,Aksu,CN,75.6,clear sky,41.1231,80.2644,
134,Hilo,US,82.27,overcast clouds,19.7297,-155.09,
135,Banda Aceh,ID,81.03,overcast clouds,5.5577,95.3222,
136,Chudniv,UA,63.48,clear sky,50.052,28.1175,
137,Muisne,EC,76.14,overcast clouds,0.6,-80.0333,
139,Pochutla,MX,83.25,overcast clouds,15.7432,-96.4661,
140,Kokkarion,GR,76.93,clear sky,37.7764,26.8939,
142,Mount Isa,AU,73.17,overcast clouds,-20.7333,139.5,
143,Flinders,AU,62.38,clear sky,-34.5833,150.8552,
144,Beyneu,KZ,81.19,clear sky,45.3167,55.2,
147,Elizabeth City,US,87.98,clear sky,36.2946,-76.2511,
148,Paita,PE,68.14,scattered clouds,-5.0892,-81.1144,
149,Marechal Deodoro,BR,71.01,scattered clouds,-9.7103,-35.895,
151,Guasdualito,VE,73.76,broken clouds,7.2424,-70.7324,
152,Amapa,BR,70.74,clear sky,1.0,-52.0,
155,Airai,TL,71.31,broken clouds,-8.9266,125.4092,
156,East London,ZA,69.06,few clouds,-33.0153,27.9116,
158,Kamaishi,JP,63.9,overcast clouds,39.2667,141.8833,
159,Hualmay,PE,64.27,broken clouds,-11.0964,-77.6139,
160,Mago,RU,77.05,broken clouds,53.2514,140.1822,
161,Bud,US,68.22,overcast clouds,39.447,-86.1758,
163,Jodiya,IN,87.51,scattered clouds,22.6925,70.306,
164,Emerald,AU,69.35,clear sky,-23.5333,148.1667,
165,Lapeer,US,63.28,scattered clouds,43.0514,-83.3188,
166,Medicine Hat,CA,82.85,scattered clouds,50.0501,-110.6683,
169,Latung,PH,83.01,light rain,5.5,120.8833,
170,Santuario,CO,64.22,broken clouds,6.1383,-75.2642,
171,Santiago De Cao,PE,66.33,overcast clouds,-7.9589,-79.2392,
172,Belmonte,BR,73.9,clear sky,-15.8631,-38.8828,
173,Sao Filipe,CV,71.96,few clouds,14.8961,-24.4956,
