City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Swan River,CA,52.1058,-101.2676,62.64,60,40,3.74,scattered clouds
1,Ushuaia,AR,-54.8,-68.3,37.06,65,0,5.75,clear sky
2,Busselton,AU,-33.65,115.3333,49.08,79,100,8.3,overcast clouds
3,Kamenka,RU,51.3223,42.7678,66.42,75,0,8.32,clear sky
4,Praia Da Vitoria,PT,38.7333,-27.0667,68.25,83,40,6.38,scattered clouds
5,Jiayuguan,CN,39.8167,98.3,73.45,29,79,8.66,broken clouds
6,Bluff,NZ,-46.6,168.3333,48.79,62,100,15.73,overcast clouds
7,Tasiilaq,GL,65.6145,-37.6368,41.16,81,3,3.89,clear sky
8,Arraial Do Cabo,BR,-22.9661,-42.0278,69.4,79,11,15.55,few clouds
9,Belyy Yar,RU,53.6039,91.3903,58.89,72,0,4.47,clear sky
10,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,5.75,clear sky
11,Kapaa,US,22.0752,-159.319,80.92,77,75,3.0,light rain
12,Carnarvon,AU,-24.8667,113.6333,55.47,59,0,8.05,clear sky
13,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,49,0,14.97,clear sky
14,Victoria,HK,22.2855,114.1577,76.98,82,100,5.91,moderate rain
15,Albany,US,42.6001,-73.9662,82.35,91,100,6.33,light rain
16,Puerto Ayora,EC,-0.7393,-90.3518,73.54,92,100,5.99,overcast clouds
17,Atar,MR,20.5169,-13.0499,88.48,15,7,9.15,clear sky
18,Hobart,AU,-42.8794,147.3294,50.11,92,75,6.91,broken clouds
19,Pevek,RU,69.7008,170.3133,40.91,71,10,6.46,clear sky
20,Shubarshi,KZ,48.5872,57.1869,68.92,30,4,4.99,clear sky
21,Bandundu,CD,-3.3167,17.3667,74.12,56,100,3.94,overcast clouds
22,Kuusamo,FI,65.9667,29.1833,60.84,88,40,9.22,scattered clouds
23,Port Elizabeth,ZA,-33.918,25.5701,76.1,31,3,19.66,clear sky
24,Saskylakh,RU,71.9167,114.0833,79.14,41,4,0.92,clear sky
25,Maxixe,MZ,-23.8597,35.3472,64.92,89,66,4.34,light rain
26,Urucara,BR,-2.5364,-57.76,76.06,77,55,2.46,broken clouds
27,Talnakh,RU,69.4865,88.3972,39.79,86,100,10.11,light rain
28,Naze,JP,28.3667,129.4833,72.52,75,100,18.99,overcast clouds
29,Ambon,ID,-3.6954,128.1814,84.34,74,20,5.75,few clouds
30,Kavieng,PG,-2.5744,150.7967,85.33,69,33,14.74,scattered clouds
31,Te Anau,NZ,-45.4167,167.7167,45.95,71,82,0.67,broken clouds
32,Butaritari,KI,3.0707,172.7902,82.96,68,100,4.25,overcast clouds
33,Barrow,US,71.2906,-156.7887,42.82,70,1,11.5,clear sky
34,Nemuro,JP,43.3236,145.575,51.75,76,0,4.79,clear sky
35,Rikitea,PF,-23.1203,-134.9692,75.02,83,57,13.87,light rain
36,Faanui,PF,-16.4833,-151.75,79.74,71,0,4.41,clear sky
37,Yellowknife,CA,62.456,-114.3525,61.88,40,100,6.04,overcast clouds
38,Hervey Bay,AU,-25.2986,152.8535,71.71,71,6,5.99,clear sky
39,Nikolskoye,RU,59.7035,30.7861,72.01,86,7,4.97,clear sky
40,Kano,NG,12.0001,8.5167,80.96,60,22,14.72,few clouds
41,Vaini,TO,-21.2,-175.2,80.76,78,20,12.66,few clouds
42,Cape Town,ZA,-33.9258,18.4232,62.89,89,94,7.0,light rain
43,Mandalgovi,MN,45.7625,106.2708,65.55,50,100,15.95,overcast clouds
44,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.28,80,93,10.83,overcast clouds
45,Amazar,RU,53.858,120.875,76.59,44,42,4.56,scattered clouds
46,Lompoc,US,34.6391,-120.4579,77.77,75,1,13.8,clear sky
47,Hithadhoo,MV,-0.6,73.0833,83.32,72,95,11.12,overcast clouds
48,Dicabisagan,PH,17.0818,122.4157,88.18,60,100,4.23,overcast clouds
49,Bengkulu,ID,-3.8004,102.2655,78.51,76,100,3.36,overcast clouds
50,Swan Hill,AU,-35.3378,143.5544,55.11,57,100,11.25,overcast clouds
51,Tabou,CI,4.423,-7.3528,76.41,86,89,5.37,overcast clouds
52,Chuy,UY,-33.6971,-53.4616,53.64,82,100,3.53,overcast clouds
53,Kidal,ML,18.4411,1.4078,84.78,42,4,12.68,clear sky
54,Mar Del Plata,AR,-38.0023,-57.5575,51.13,60,91,5.01,overcast clouds
55,Lucapa,AO,-8.4192,20.7447,63.1,50,76,4.47,broken clouds
56,Avarua,CK,-21.2078,-159.775,72.73,61,0,2.93,clear sky
57,Port Alfred,ZA,-33.5906,26.891,69.15,35,1,16.4,clear sky
58,Atuona,PF,-9.8,-139.0333,79.32,76,22,11.5,few clouds
59,Vilyuysk,RU,63.7553,121.6247,84.79,38,75,4.25,broken clouds
60,Tarata,BO,-17.6167,-66.0167,60.08,68,5,4.45,clear sky
61,Khatanga,RU,71.9667,102.5,59.16,59,100,8.99,overcast clouds
62,Flin Flon,CA,54.7682,-101.865,62.51,32,83,4.83,broken clouds
63,Mataura,NZ,-46.1927,168.8643,48.47,84,100,4.94,overcast clouds
64,Qaanaaq,GL,77.484,-69.3632,37.99,69,24,5.01,few clouds
65,Narsaq,GL,60.9167,-46.05,48.42,72,100,2.77,overcast clouds
66,Lebu,CL,-37.6167,-73.65,51.49,96,100,2.1,moderate rain
67,New Norfolk,AU,-42.7826,147.0587,48.76,71,100,1.88,overcast clouds
68,Katsuura,JP,35.1333,140.3,79.23,75,100,11.48,overcast clouds
69,Ribeira Grande,PT,38.5167,-28.7,65.79,74,86,4.23,overcast clouds
70,Jamestown,US,42.097,-79.2353,69.08,82,90,13.8,overcast clouds
71,Yulara,AU,-25.2406,130.9889,55.24,76,90,8.05,light rain
72,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,76.19,43,1,0.4,clear sky
73,Japura,ID,-0.3167,102.35,76.48,84,100,1.86,overcast clouds
74,Bredasdorp,ZA,-34.5322,20.0403,61.25,67,1,10.2,clear sky
75,Chokurdakh,RU,70.6333,147.9167,72.93,28,1,10.83,clear sky
